screen_name,Label,followers_count,friends_count
Synthdrum,Synthdrum,53.0,333.0
TKaraye,TKaraye,70.0,236.0
Team_LIBer8,Team_LIBer8,1320.0,206.0
TeezyFBaby1,TeezyFBaby1,573.0,408.0
ThatSpanishLady,ThatSpanishLady,849.0,702.0
TheCapitolRPG,TheCapitolRPG,322.0,149.0
TheGoldCoastBoy,TheGoldCoastBoy,624.0,1916.0
TheGuildng,TheGuildng,1586.0,2316.0
TheSecretCove,TheSecretCove,551.0,2257.0
TheThranDaddy,TheThranDaddy,272.0,219.0
Thistle_of_Alba,Thistle_of_Alba,328.0,132.0
TiredOldCat,TiredOldCat,254.0,248.0
TonySantanaZA,TonySantanaZA,1197.0,858.0
TradHin,TradHin,45.0,141.0
TrueObservatory,TrueObservatory,0.0,3.0
Tulletilsynet,Tulletilsynet,691.0,1060.0
TurkeyUntold,TurkeyUntold,70454.0,0.0
Ulexar,Ulexar,205.0,1166.0
UnemployedNig1,UnemployedNig1,2185.0,2584.0
VKRAOMOVVA,VKRAOMOVVA,1377.0,2827.0
WalesforaUK,WalesforaUK,105.0,74.0
WaywordKnight,WaywordKnight,203.0,264.0
WernerT_Man,WernerT_Man,392.0,1993.0
X123Alpha,X123Alpha,13000.0,12350.0
YungMuttonCurry,YungMuttonCurry,315.0,521.0
YuregiElinde,YuregiElinde,39.0,169.0
ZaidJilani,ZaidJilani,36374.0,5613.0
ZebraOG,ZebraOG,582.0,96.0
_Malinga_,_Malinga_,2816.0,1532.0
_Pimii,_Pimii,279.0,285.0
_juliescharf,_juliescharf,86.0,48.0
_threadss,_threadss,101.0,162.0
abrahama999,abrahama999,7108.0,1861.0
ahmedniaz64,ahmedniaz64,218.0,979.0
aisyhzwni,aisyhzwni,282.0,56.0
ajjolley,ajjolley,1811.0,1628.0
amadeus0377,amadeus0377,139.0,395.0
ameraddeen,ameraddeen,13.0,3.0
amozu16,amozu16,1282.0,250.0
andreyrublevs,andreyrublevs,463.0,411.0
anger_24,anger_24,3696.0,3771.0
apeirophobic,apeirophobic,1195.0,1326.0
arntits1,arntits1,7.0,53.0
artincircles,artincircles,1320.0,1310.0
arunjamdagni,arunjamdagni,12.0,15.0
asknauf,asknauf,1871.0,1229.0
aspiesmom,aspiesmom,5624.0,5500.0
auto_tldr,auto_tldr,72.0,7.0
bailulz,bailulz,42.0,142.0
baim100,baim100,423.0,203.0
bkohatl,bkohatl,764.0,1285.0
bluejaybeep,bluejaybeep,90.0,194.0
caprazli,caprazli,784.0,2582.0
caredgaga,caredgaga,53.0,146.0
cathalmcb,cathalmcb,351.0,991.0
cercoelody,cercoelody,85.0,313.0
cfwpeace,cfwpeace,128.0,219.0
changermindset,changermindset,1998.0,4985.0
choo_ek,choo_ek,4349.0,1328.0
chrismacalister,chrismacalister,111.0,140.0
daintylightx,daintylightx,227.0,188.0
deenie61,deenie61,167.0,317.0
derbykid,derbykid,2074.0,973.0
deve8rs,deve8rs,221.0,657.0
dinahbabe12,dinahbabe12,350.0,299.0
dispangtan_bdg,dispangtan_bdg,5357.0,313.0
donholt99,donholt99,1561.0,2236.0
em_bernadin,em_bernadin,6765.0,531.0
emsss8795,emsss8795,80.0,145.0
famakfana,famakfana,27.0,34.0
fatnutritionist,fatnutritionist,12129.0,4996.0
fozadoza,fozadoza,6880.0,3400.0
fufabunny,fufabunny,419.0,621.0
giv2UNHCR,giv2UNHCR,59.0,309.0
gordolake,gordolake,602.0,1495.0
gravitybea,gravitybea,5594.0,3871.0
hayatkhan9900,hayatkhan9900,204.0,1798.0
hopefulrenegade,hopefulrenegade,13965.0,594.0
hungerstrikee,hungerstrikee,370.0,5.0
imad_abdul,imad_abdul,243.0,179.0
immigrantbs,immigrantbs,25.0,95.0
isasquare,isasquare,371.0,347.0
jaketabber82,jaketabber82,569.0,287.0
jensmysunshine,jensmysunshine,2612.0,2326.0
jhutcher_,jhutcher_,10346.0,82.0
jmtastexx,jmtastexx,18533.0,1.0
jnktrnrby,jnktrnrby,2056.0,654.0
julietkego,julietkego,9897.0,5535.0
kals55,kals55,1016.0,2049.0
kjoycottn,kjoycottn,6.0,8.0
kmaclr,kmaclr,1875.0,619.0
krywashington,krywashington,2625.0,151.0
layyclemente,layyclemente,465.0,247.0
lennan6,lennan6,271.0,201.0
lisa_cardon,lisa_cardon,862.0,2535.0
lisantecrivant,lisantecrivant,14.0,0.0
locations131,locations131,507.0,858.0
lourryniamalik,lourryniamalik,208.0,25.0
love_xtina10,love_xtina10,1292.0,1271.0
lydiamay,lydiamay,725.0,1690.0
matifou09,matifou09,60.0,337.0
mdeloge,mdeloge,343.0,932.0
miraioritekita,miraioritekita,1013.0,736.0
